id,name,org_name,professor
12069,(더빙) 위대한 수업3(GREAT MINDS) : 리얼리즘 영화의 거장,EBS,켄 로치
12059,영화의 이해,순천향대학교,민경원
12022,영상의 이해,우석대학교,남완석
12015,(MOOC) 위대한 수업3(GREAT MINDS) : 리얼리즘 영화의 거장,EBS,켄 로치
12014,(수어) 위대한 수업3(GREAT MINDS) : 리얼리즘 영화의 거장,EBS,켄 로치
11926,예술과 경영의 만남,동국대학교,정달영
11735,애니메이션의 이해,이화여자대학교,최유미
11734,K-무비와 글로컬리즘,경희대학교 K-컬처·스토리콘텐츠연구소,백태현
11693,(방송) 위대한 수업3(GREAT MINDS) : 리얼리즘 영화의 거장,EBS,켄 로치
11627,부산과 영화,동의대학교,김이석
11550,영화 속 숨겨진 의미 읽기,계명대학교,최현주
11517,한국영화사로 보는 가족,광운대학교,강성률
11121,"(수어) 차이나는 K-클라스 : K-콘텐트, 80억 구독자를 잡아라!(원동연)",JTBC,원동연
11120,"(MOOC) 차이나는 K-클라스 : K-콘텐트, 80억 구독자를 잡아라!(원동연)",JTBC,원동연
10987,(MOOC) 위대한 수업2(GREAT MINDS) : 미래에서 온 영화,EBS,제임스 카메론
10986,(수어) 위대한 수업2(GREAT MINDS) : 미래에서 온 영화,EBS,제임스 카메론
10985,(더빙) 위대한 수업2(GREAT MINDS) : 미래에서 온 영화,EBS,제임스 카메론
10835,(수어) 차이나는 K-클라스 : 뮤지컬 보러 한국 올래?(이지나),JTBC,이지나
10834,(MOOC) 차이나는 K-클라스 : 뮤지컬 보러 한국 올래?(이지나),JTBC,이지나
10832,"(수어) 차이나는 K-클라스 : 1인치 장벽을 넘어선, K-배우의 힘(김신록, 백은하)",JTBC,"김신록, 백은하"
10829,"(MOOC) 차이나는 K-클라스 : 1인치 장벽을 넘어선, K-배우의 힘(김신록, 백은하)",JTBC,"김신록, 백은하"
10157,영화로 이해하는 불안과 공포,중앙대학교,윤부희
9993,K-무비와 글로컬리즘,경희대학교 K-컬처·스토리콘텐츠연구소,백태현
9923,예술과 경영의 만남,동국대학교,정달영
9844,영상의 이해,우석대학교,남완석
9767,부산과 영화,동의대학교,김이석
9736,영화의 이해,순천향대학교,민경원
9648,한국영화사로 보는 가족,광운대학교,강성률
9618,애니메이션의 이해,이화여자대학교,최유미
8363,애니메이션 영화의  혼성적 연출특성,동서대학교,이현석
8312,감성미디어를 통한 인터랙티브 스토리텔링,단국대학교,강지영
7670,Concepts of Post-Production,우송대학교,박성우
5918,감각과 불안의 서사 :  엔터테인먼트의 터전이 되다,성균관대학교,안상혁
5339,영화의 이해,순천향대학교,민경원
4393,영화제를 만드는 사람들,경성대학교,양영철
4391,교육을 변화시키는 교육연극,경성대학교,김수연
4389,연극 오디세이,경성대학교,김숙경
4379,시나리오란 무엇인가?,경성대학교,강내영
4375,연극으로 하는 창의감성교육,경성대학교,"이기호, 김수연"
4363,스마트폰으로 영화 만들기,경성대학교,양영철
4358,연기와 오디션 테크닉,경성대학교,이기호
4274,영화와 테크놀로지,한국공학대학교,이수길
4273,영화와 테크놀로지,한국공학대학교,이수길
2480,공연을 만드는 사람들,한양대학교,"권용, 반능기 "
1990,애니메이션의 이해,이화여자대학교,최유미
1986,[집콕]애니메이션의 이해,이화여자대학교,최유미
1756,예술과 경영의 만남,동국대학교,정달영
1114,부산과 영화,동의대학교,김이석
390,영화로 이해하는 불안과 공포,중앙대학교,윤부희
